id,gtfs_route_id,journey_ref,start_time,end_time,gtfs_route__date,gtfs_route__line_ref,gtfs_route__operator_ref,gtfs_route__route_short_name,gtfs_route__route_long_name,gtfs_route__route_mkt,gtfs_route__route_direction,gtfs_route__route_alternative,gtfs_route__agency_name,gtfs_route__route_type,makat_input
144586565,8941495,53400021_170526,2026-05-18T02:40:00+00:00,2026-05-18T03:29:54+00:00,2026-05-18,5214,15,524,לב הפארק/וייצמן-רעננה<->ת.רכבת בני ברק-בני ברק-1#,10524,1,#,מטרופולין,3,10524
144586618,8941495,41657184_170526,2026-05-18T03:40:00+00:00,2026-05-18T04:29:54+00:00,2026-05-18,5214,15,524,לב הפארק/וייצמן-רעננה<->ת.רכבת בני ברק-בני ברק-1#,10524,1,#,מטרופולין,3,10524
144586617,8941495,1347508_170526,2026-05-18T04:10:00+00:00,2026-05-18T04:59:54+00:00,2026-05-18,5214,15,524,לב הפארק/וייצמן-רעננה<->ת.רכבת בני ברק-בני ברק-1#,10524,1,#,מטרופולין,3,10524
144586031,8941496,53400099_170526,2026-05-18T04:15:00+00:00,2026-05-18T05:02:46+00:00,2026-05-18,5216,15,524,ת.רכבת בני ברק-בני ברק<->קרית הספורט/וייצמן-רעננה-2#,10524,2,#,מטרופולין,3,10524
144586563,8941495,41657189_170526,2026-05-18T04:40:00+00:00,2026-05-18T05:29:54+00:00,2026-05-18,5214,15,524,לב הפארק/וייצמן-רעננה<->ת.רכבת בני ברק-בני ברק-1#,10524,1,#,מטרופולין,3,10524
144552707,8941495,585243400_170526,2026-05-18T05:10:00+00:00,2026-05-18T05:59:54+00:00,2026-05-18,5214,15,524,לב הפארק/וייצמן-רעננה<->ת.רכבת בני ברק-בני ברק-1#,10524,1,#,מטרופולין,3,10524
144582557,8941496,50252393_170526,2026-05-18T05:20:00+00:00,2026-05-18T06:07:46+00:00,2026-05-18,5216,15,524,ת.רכבת בני ברק-בני ברק<->קרית הספורט/וייצמן-רעננה-2#,10524,2,#,מטרופולין,3,10524
144552705,8941495,41657194_170526,2026-05-18T05:40:00+00:00,2026-05-18T06:29:54+00:00,2026-05-18,5214,15,524,לב הפארק/וייצמן-רעננה<->ת.רכבת בני ברק-בני ברק-1#,10524,1,#,מטרופולין,3,10524
144586030,8941496,41657266_170526,2026-05-18T06:15:00+00:00,2026-05-18T07:02:46+00:00,2026-05-18,5216,15,524,ת.רכבת בני ברק-בני ברק<->קרית הספורט/וייצמן-רעננה-2#,10524,2,#,מטרופולין,3,10524
144582463,8941495,25801312_170526,2026-05-18T06:40:00+00:00,2026-05-18T07:29:54+00:00,2026-05-18,5214,15,524,לב הפארק/וייצמן-רעננה<->ת.רכבת בני ברק-בני ברק-1#,10524,1,#,מטרופולין,3,10524
144552708,8941496,41657271_170526,2026-05-18T07:15:00+00:00,2026-05-18T08:02:46+00:00,2026-05-18,5216,15,524,ת.רכבת בני ברק-בני ברק<->קרית הספורט/וייצמן-רעננה-2#,10524,2,#,מטרופולין,3,10524
144552706,8941495,41657204_170526,2026-05-18T07:40:00+00:00,2026-05-18T08:29:54+00:00,2026-05-18,5214,15,524,לב הפארק/וייצמן-רעננה<->ת.רכבת בני ברק-בני ברק-1#,10524,1,#,מטרופולין,3,10524
144582556,8941496,41657276_170526,2026-05-18T08:15:00+00:00,2026-05-18T09:02:46+00:00,2026-05-18,5216,15,524,ת.רכבת בני ברק-בני ברק<->קרית הספורט/וייצמן-רעננה-2#,10524,2,#,מטרופולין,3,10524
